"movie_odid","display_name","release_odid","release_name","video_release_date","type","distributor"
"3670100","Black Hawk Down","8120119","Black Hawk Down","2002-06-11","Regular","Sony Pictures Home Entertainment"
"3700100","The Princess Diaries","101720119","The Princess Diaries","2004-08-03","Regular","Walt Disney Home Entertainment"
"3720100","Pulp Fiction","59540119","Pulp Fiction","1996-03-05","Regular","Miramax Video"
"3740100","Watchmen","28780119","Watchmen","2009-07-21","","Warner Home Video"
"3760100","Analyze This","19820119","Analyze This","1999-08-17","","Warner Home Video"
"3770100","Miss Congeniality","19900119","Miss Congeniality","2001-05-01","","Warner Home Video"
"3780100","Chicken Run","192200119","Chicken Run","2018-02-01","Regular","Universal Home Entertainment"
"3810100","Goldeneye","8470119","Goldeneye (2007 re-release)","2007-02-06","","MGM Video"
"3840100","The Italian Job","145000119","The Italian Job","2008-06-03","Regular","Paramount Home Video"
"3880100","George Of The Jungle","235450119","George Of The Jungle","2000-12-12","Regular","Walt Disney Home Entertainment"
"3900100","The Graduate","43940119","The Graduate","1999-10-05","Regular","MGM Video"
"3910100","American Wedding","250220119","American Wedding","2004-01-02","Regular","Universal Home Entertainment"
"3940100","Road to Perdition","45230119","Road to Perdition","2003-02-25","Regular","Dreamworks Video"
"3960100","Dreamgirls","8600119","Dreamgirls","2007-05-01","","Dreamworks Video"
"3970100","Nine to Five","221590119","Nine to Five","2001-04-17","Regular","Fox Home Entertainment"
"3980100","Scream","24430119","Scream","1998-12-08","Regular","Dimension Home"
"4020100","The Aviator","21340119","Aviator, The","2005-05-24","Regular","Warner Home Video"
"4030100","Daredevil","22470119","Daredevil","2003-07-29","","Fox Home Entertainment"
"4040100","The Mummy: Tomb of the Dragon Emperor","23230119","Mummy: Tomb of the Dragon Emperor, The","2008-12-16","","Universal Home Entertainment"
"4060100","Mary Poppins","6800119","Mary Poppins","1998-03-25","","Walt Disney Home Entertainment"
"4080100","American Pie","50670119","American Pie","2000-05-16","Regular","Universal Home Entertainment"
"4090100","Journey to the Center of the Earth","21690119","Journey to the Center of the Earth","2008-10-28","","Warner Home Video"
"4100100","Gone in 60 Seconds","27150119","Gone in 60 Seconds","2000-12-05","","Walt Disney Home Entertainment"
"4130100","Eagle Eye","23770119","Eagle Eye","2008-12-28","","Paramount Home Video"
"4140100","The Prince of Egypt","23570119","The Prince of Egypt","1999-09-14","Regular","Paramount Home Video"
"4150100","Scream 2","57090119","Scream 2","1998-07-22","","Walt Disney Home Entertainment"
"4190100","Con Air","61550119","Con Air","2009-09-15","Regular","Walt Disney Home Entertainment"
"4200100","Sleepy Hollow","23340119","Sleepy Hollow","2000-05-23","Regular","Paramount Home Video"
"4210100","The Cat in the Hat","31790119","Dr. Seuss' The Cat in the Hat","2004-03-16","Regular","Universal Home Entertainment"
"4220100","Contact","233210119","Contact","2009-09-08","Regular","Warner Home Video"
"4230100","Charlie's Angels: Full Throttle","219920119","Charlie's Angels: Full Throttle","2003-10-21","Regular","Sony Pictures Home Entertainment"
"4250100","Vanilla Sky","110120119","Vanilla Sky","2002-05-21","Regular","Paramount Home Video"
"4270100","Million Dollar Baby","14340119","Million Dollar Baby","2005-07-12","","Warner Home Video"
"4290100","Step Brothers","21710119","Step Brothers","2008-12-02","Regular","Sony Pictures Home Entertainment"
"4300100","Jumanji","118380119","Jumanji","2015-09-22","Regular","Sony Pictures Home Entertainment"
"4320100","Shakespeare in Love","104030119","Shakespeare in Love","2011-04-26","Regular","Lionsgate Miramax"
"4330100","Evan Almighty","10980119","Evan Almighty","2007-10-09","","Universal Home Entertainment"
"4340100","Collateral","27140119","Collateral","2004-12-14","Regular","Dreamworks Video"
"4350100","The Hunchback of Notre Dame","203310119","The Hunchback of Notre Dame","2002-03-18","Regular","Walt Disney Home Entertainment"
"4360100","Se7en","29430119","Seven","1997-03-26","Regular","New Line Home Video"
"4380100","You Don't Mess With the Zohan","22480119","You Don't Mess with the Zohan","2008-10-07","","Sony Pictures Home Entertainment"
"4400100","Hercules","99760119","Hercules","1998-02-03","Regular","Walt Disney Home Entertainment"
"4430100","Meet the Robinsons","11100119","Meet the Robinsons","2007-10-23","","Walt Disney Home Entertainment"
"4440100","Yes Man","25700119","Yes Man","2009-04-07","","Warner Home Video"
"4460100","Public Enemies","31890119","Public Enemies","2009-12-08","Regular","Universal Home Entertainment"
"4470100","The Others","13790119","Others, The","2002-05-14","Regular","Dimension Home"
"4490100","Schindler’s List","3490119","Schindler’s List","2004-03-09","Regular","Universal Home Entertainment"
"4500100","Dead Poets Society","104240119","Dead Poets Society","1998-11-10","Regular",""
"4510100","Norbit","9120119","Norbit","2007-06-05","","Paramount Home Video"
"4520100","Cold Mountain","237180119","Cold Mountain","2012-01-31","Regular","Lionsgate Miramax"
"4530100","Michael","249030119","Michael","2001-06-05","Regular","Warner Home Video"
"4540100","Panic Room","49390119","Panic Room","2003-02-04","Regular","Sony Pictures Home Entertainment"
"4550100","The Princess Diaries 2: Royal Engagement","101730119","The Princess Diaries 2: Royal Engagement","2004-12-14","Regular","Walt Disney Home Entertainment"
"4560100","Unbreakable","193970119","Unbreakable","2001-06-21","Regular","Buena Vista Home Entertainment"
"4580100","Beverly Hills Chihuahua","26400119","Beverly Hills Chihuahua","2009-03-03","","Walt Disney Home Entertainment"
"4590100","He's Just Not That Into You","28130119","He's Just Not That Into You","2009-06-02","Regular","New Line Home Video"
"4600100","Maid in Manhattan","49990119","Maid in Manhattan","2003-08-26","Regular","Sony Pictures Home Entertainment"
"4610100","Master and Commander: The Far Side of the World","8300119","Master and Commander - The Far Side of the World","2004-04-20","Regular","Fox Home Entertainment"
"4620100","The Mask of Zorro","1000119","The Mask of Zorro (Deluxe Edition)","2005-10-18","Regular","Sony Pictures Home Entertainment"
"4660100","The Bucket List","16760119","Bucket List, The","2008-06-10","","Warner Home Video"
"4670100","Cats & Dogs","20010119","Cats and Dogs","2001-10-16","","Warner Home Video"
"4680100","Two Weeks Notice","20130119","Two Weeks Notice","2003-04-29","","Warner Home Video"
"4710100","Red Dragon","50360119","Red Dragon","2003-08-05","Regular","Universal Home Entertainment"
"4720100","When Harry Met Sally…","145190119","When Harry Met Sally…","2015-01-06","Regular","MGM Video"
"4780100","The Haunting","249820119","The Haunting","2017-10-10","Regular","Paramount Home Video"
"4810100","The Karate Kid","35190119","The Karate Kid","1998-04-14","Regular","Sony Pictures Home Entertainment"
"4830100","Scary Movie 4","3600119","Scary Movie 4","2006-08-15","","Weinstein Co./Genius"
"4840100","The Game Plan","11790119","Game Plan, The","2008-01-22","","Walt Disney Home Entertainment"
"4860100","The Scorpion King","50520119","The Scorpion King","2002-10-01","Regular","Universal Home Entertainment"
"4880100","High School Musical 3: Senior Year","26010119","High School Musical 3: Senior Year","2009-02-17","","Walt Disney Home Entertainment"
"4890100","Madea Goes To Jail","27270119","Madea Goes to Jail","2009-06-16","","Lionsgate Home Entertainment"
"4910100","Space Jam","95690119","Space Jam","1997-03-11","Regular","Warner Home Video"
"4920100","Space Cowboys","19880119","Space Cowboys","2001-04-17","","Warner Home Video"
"4940100","Mystic River","20160119","Mystic River","2004-06-08","","Warner Home Video"
"4950100","Flightplan","930119","Flightplan","2006-01-24","","Walt Disney Home Entertainment"
"4960100","Julie & Julia","31600119","Julie & Julia","2009-12-08","Regular","Sony Pictures Home Entertainment"
"4980100","The Emperor's New Groove","100470119","The Emperor's New Groove","2005-10-18","Regular","Walt Disney Home Entertainment"
"4990100","Scream 3","57100119","Scream 3","2000-07-04","","Dimension Home"
"5010100","Failure to Launch","2830119","Failure to Launch","2006-06-27","Regular","Paramount Home Video"
"5020100","Inside Man","1680119","Inside Man","2006-08-08","","Universal Home Entertainment"
"5030100","The Ugly Truth","30640119","The Ugly Truth","2009-11-10","","Sony Pictures Home Entertainment"
"5050100","Starsky & Hutch","197800119","Starsky & Hutch","2006-02-14","Regular","Warner Home Video"
"5080100","Entrapment","41140119","Entrapment","1999-11-23","","Fox Home Entertainment"
"5110100","Pineapple Express","23270119","Pineapple Express","2009-01-06","Regular","Sony Pictures Home Entertainment"
"5130100","Saw II","1510119","Saw II","2006-02-14","Regular","Lionsgate Home Entertainment"
"5180100","Young Frankenstein","4680119","Young Frankenstein","1998-11-03","","Fox Home Entertainment"
"5190100","Mean Girls","100590119","Mean Girls","2004-09-21","Regular","Warner Home Video"
"5200100","Spy Kids 2: The Island of Lost Dreams","61240119","Spy Kids 2: The Island of Lost Dreams","2011-08-02","Regular","Lionsgate Home Entertainment"
"5220100","SpongeBob SquarePants: The Movie","100440119","SpongeBob SquarePants: The Movie","2014-03-01","Regular","Paramount Home Video"
"5230100","Brother Bear","15050119","Brother Bear","2004-03-30","","Walt Disney Home Entertainment"
"5250100","Rocky 2","42440119","Rocky 2","1996-04-16","Regular","MGM Video"
"5260100","Aliens","57180119","Aliens","1993-06-24","Regular","Fox Home Entertainment"
"5270100","Open Season","5940119","Open Season","2007-01-30","","Sony Pictures Home Entertainment"
"5280100","Cinderella","6540119","Cinderella","2005-10-04","Regular","Walt Disney Home Entertainment"
"5300100","The Santa Clause 3: The Escape Clause","11600119","Santa Clause 3, The - The Escape Clause","2007-11-20","","Walt Disney Home Entertainment"
"5330100","Anchorman: The Legend of Ron Burgundy","4350119","Anchorman - The Legend of Ron Burgundy","2004-12-28","","Dreamworks Video"
"5350100","Cliffhanger","50050119","Cliffhanger","1996-05-21","Regular","Sony Pictures Home Entertainment"
"5360100","The X Files: Fight the Future","21520119","X-Files: Fight the Future, The","1999-05-04","","Fox Home Entertainment"
"5400100","Airplane!","236180119","Airplane!","2017-04-25","Regular","Paramount Home Video"
"5440100","Valkyrie","27620119","Valkyrie","2009-05-19","","United Artists Video"
"5450100","Brokeback Mountain","2000119","Brokeback Mountain","2006-04-04","","Universal Home Entertainment"
"5470100","Charlotte's Web","7260119","Charlotte's Web","2007-04-03","Regular","Paramount Home Video"
"5480100","Monster-in-Law","16870119","Monster-in-Law","2005-08-30","","New Line Home Video"
"5500100","Days of Thunder","25970119","Days of Thunder","1999-05-25","Regular","Paramount Home Video"
"5510100","Freddy vs. Jason","27890119","Freddy vs. Jason","2004-01-13","Regular","New Line Home Video"
"5530100","Cheaper by the Dozen 2","2500119","Cheaper by the Dozen 2","2006-05-23","","Fox Home Entertainment"
"5540100","Bram Stoker's Dracula","26980119","Bram Stoker's Dracula","1997-10-07","Regular","Sony Pictures Home Entertainment"
"5560100","Bridge to Terabithia","9290119","Bridge to Terabithia","2007-06-19","Regular","Walt Disney Home Entertainment"
"5570100","The Pink Panther","2740119","Pink Panther, The (2006)","2006-06-13","","Sony Pictures Home Entertainment"
"5580100","Beowulf","14100119","Beowulf","2008-02-26","","Paramount Home Video"
"5590100","Blade 2","67600119","Blade 2","2002-09-03","Regular","New Line Home Video"
"5600100","Eight Below","3260119","Eight Below","2006-06-20","","Walt Disney Home Entertainment"
"5620100","Payback","8230119","Payback","1999-07-27","","Paramount Home Video"
"5640100","Die Hard","41100119","Die Hard","1992-10-07","Regular","Fox Home Entertainment"
"5650100","The Talented Mr. Ripley","101440119","The Talented Mr. Ripley","2000-06-27","Regular","Warner Home Video"
"5660100","School of Rock","205690119","School of Rock","2017-01-24","Regular","Paramount Home Video"
"5710100","While You Were Sleeping","224590119","While You Were Sleeping","1998-02-04","Regular","Hollywood Home Video"
"5730100","The Notebook","1430119","The Notebook","2005-02-08","Regular","New Line Home Video"
"5740100","Jimmy Neutron: Boy Genius","21290119","Jimmy Neutron - Boy Genius","2002-07-02","","Paramount Home Video"
"5750100","Alien","57190119","Alien","1992-12-07","Regular","Fox Home Entertainment"
"5770100","Moonstruck","250420119","Moonstruck","2006-04-18","Regular","MGM Video"
"5780100","The Texas Chainsaw Massacre","4610119","Texas Chainsaw Massacre, The (2003)","2004-03-30","","New Line Home Video"
"5810100","What Happens in Vegas...","19670119","What Happens in Vegas","2008-08-26","","Fox Home Entertainment"
"5820100","The Dukes of Hazzard","1360119","Dukes of Hazzard, The","2005-12-06","","Warner Home Video"
"5830100","The Wedding Singer","55180119","The Wedding Singer","1998-01-12","Regular","New Line Home Video"
"5840100","Saw III","6300119","Saw III","2007-01-23","Regular","Lionsgate Home Entertainment"
"5850100","Disturbia","10160119","Disturbia","2007-08-07","","Dreamworks Video"
"5860100","Nacho Libre","4510119","Nacho Libre","2006-10-24","","Paramount Home Video"
"5870100","Jumper","16620119","Jumper","2008-06-10","","Fox Home Entertainment"
"5880100","Cloverfield","16220119","Cloverfield","2008-04-22","","Paramount Home Video"
"5890100","Footloose","59720119","Footloose","1996-06-25","Regular","Paramount Home Video"
"5900100","The Ten Commandments","5540119","Ten Commandments, The (50th Anniversary Collection)","2006-03-21","Regular","Paramount Home Video"
"5900100","The Ten Commandments","46000119","Ten Commandments, The","1992-12-07","Regular","Paramount Home Video"
"5900100","The Ten Commandments","56470119","The Ten Commandments","1992-12-07","Regular","Paramount Home Video"
"5910100","Knowing","27760119","Knowing","2009-07-07","","Summit Home Video"
"5940100","Space Station","85110119","Space Station","2005-07-19","Regular","IMAX Video"
"5960100","Hannah Montana: The Movie","29920119","Hannah Montana The Movie","2009-08-18","Regular","Walt Disney Home Entertainment"
"5970100","The Day the Earth Stood Still","25530119","The Day the Earth Stood Still (2009)","2009-04-07","","Fox Home Entertainment"
"6010100","City of Angels","90740119","City of Angels","2014-02-04","Regular","Warner Home Video"
"6040100","Artificial Intelligence: AI","56730119","A.I.: Artificial Intelligence","2002-03-05","","Dreamworks Video"
"6100100","Gangs of New York","19780119","Gangs of New York","2003-07-01","","Miramax Video"
"6120100","La marche de l'empereur","1080119","March of the Penguins","2005-11-29","","Warner Home Video"
